age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income>50K
19.0,Private,183532.0,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,25.0,United-States,0
50.0,Private,102346.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,36.0,United-States,0
28.0,Private,162298.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,0
72.0,Private,164724.0,Bachelors,13.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,28.0,United-States,0
49.0,Private,59380.0,Some-college,10.0,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
37.0,Private,188069.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
29.0,Private,142712.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
51.0,Local-gov,146181.0,9th,5.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,0
48.0,Self-emp-inc,38240.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,1
41.0,Private,242804.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
27.0,Private,110648.0,Bachelors,13.0,Never-married,Tech-support,Own-child,White,Male,0.0,0.0,40.0,United-States,0
32.0,Private,223212.0,Preschool,1.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,0
48.0,Private,320421.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,0
40.0,Private,184471.0,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
30.0,State-gov,54318.0,11th,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
51.0,Private,165637.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,0
37.0,Private,135089.0,Some-college,10.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,56.0,United-States,0
66.0,Private,236879.0,Preschool,1.0,Widowed,Priv-house-serv,Other-relative,White,Female,0.0,0.0,40.0,Guatemala,0
60.0,Private,101198.0,Assoc-voc,11.0,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,20.0,United-States,0
20.0,Private,332194.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,20.0,United-States,0
76.0,Private,82628.0,7th-8th,4.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,45.0,United-States,0
35.0,Private,276552.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
45.0,Private,214627.0,Doctorate,16.0,Widowed,Prof-specialty,Unmarried,White,Male,15020.0,0.0,40.0,Iran,1
51.0,Self-emp-not-inc,120781.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99999.0,0.0,70.0,India,1
52.0,Local-gov,146565.0,Assoc-acdm,12.0,Divorced,Other-service,Not-in-family,White,Female,4865.0,0.0,30.0,United-States,0
33.0,Private,176185.0,12th,8.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,2258.0,42.0,United-States,0
38.0,State-gov,149135.0,Assoc-acdm,12.0,Never-married,Adm-clerical,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,0
35.0,State-gov,227128.0,HS-grad,9.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,0
34.0,Private,140092.0,HS-grad,9.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
18.0,Private,192022.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,0
44.0,Private,163215.0,12th,8.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
42.0,Self-emp-not-inc,217597.0,HS-grad,9.0,Divorced,Sales,Own-child,White,Male,0.0,0.0,50.0,United-States,0
47.0,Local-gov,140644.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,1
26.0,Private,37898.0,Assoc-voc,11.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,65.0,United-States,0
33.0,Private,240763.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,0
42.0,Private,136986.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,50.0,United-States,1
51.0,Local-gov,101119.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,70.0,United-States,0
59.0,Self-emp-not-inc,124771.0,Bachelors,13.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30.0,United-States,0
31.0,Private,171871.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,46.0,United-States,0
45.0,Private,135339.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,45.0,United-States,0
39.0,Self-emp-not-inc,222204.0,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Female,3325.0,0.0,40.0,United-States,0
56.0,Federal-gov,255386.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Laos,0
35.0,Private,211154.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,0
75.0,Self-emp-not-inc,31428.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,3456.0,0.0,40.0,United-States,0
71.0,Self-emp-not-inc,31781.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,1510.0,35.0,United-States,0
46.0,Self-emp-not-inc,317253.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,25.0,United-States,0
37.0,Private,333305.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,35.0,United-States,0
30.0,Private,337908.0,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0.0,0.0,20.0,United-States,0
75.0,State-gov,220618.0,Some-college,10.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,10.0,United-States,0
29.0,Private,179768.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,0
51.0,Private,231919.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,0
41.0,Private,34037.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
18.0,Private,28357.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,20.0,United-States,0
30.0,Local-gov,19302.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,4386.0,0.0,70.0,Germany,1
35.0,Private,200426.0,Assoc-voc,11.0,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0.0,0.0,44.0,United-States,0
40.0,Private,240698.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1
39.0,Private,193689.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
42.0,Local-gov,263871.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,8.0,United-States,0
46.0,Self-emp-inc,283004.0,Assoc-voc,11.0,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,63.0,Thailand,0
40.0,Federal-gov,199303.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
31.0,Local-gov,48520.0,Assoc-acdm,12.0,Never-married,Protective-serv,Unmarried,White,Male,0.0,0.0,40.0,United-States,0
23.0,Private,181820.0,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,20.0,United-States,0
68.0,Self-emp-inc,31661.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,65.0,United-States,0
41.0,Private,183203.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,50.0,United-States,1
23.0,Local-gov,250165.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,594.0,0.0,40.0,United-States,0
17.0,Private,313444.0,12th,8.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,20.0,United-States,0
54.0,Private,146551.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,54.0,United-States,1
36.0,Private,188571.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
60.0,Private,216574.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,1
53.0,Local-gov,283602.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024.0,0.0,40.0,United-States,1
54.0,Private,155408.0,HS-grad,9.0,Widowed,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
25.0,Local-gov,206002.0,HS-grad,9.0,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
21.0,Private,92863.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
34.0,Private,157024.0,10th,6.0,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,20.0,United-States,0
57.0,Private,217886.0,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,36.0,United-States,0
41.0,Private,96635.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,60.0,United-States,0
32.0,Private,206541.0,11th,7.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,50.0,United-States,0
28.0,Local-gov,197932.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,16.0,United-States,0
47.0,Private,268022.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,55.0,United-States,1
39.0,Private,121468.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0.0,0.0,35.0,United-States,0
26.0,Private,410240.0,11th,7.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
29.0,Local-gov,211032.0,Assoc-acdm,12.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,72.0,United-States,1
30.0,Private,112115.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,60.0,Ireland,1
27.0,Private,124953.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,1980.0,40.0,United-States,0
46.0,Federal-gov,344415.0,Masters,14.0,Married-civ-spouse,Armed-Forces,Husband,White,Male,0.0,1887.0,40.0,United-States,1
33.0,Private,198727.0,HS-grad,9.0,Divorced,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
23.0,Private,193586.0,Some-college,10.0,Separated,Farming-fishing,Other-relative,White,Female,0.0,0.0,40.0,United-States,0
24.0,Private,108495.0,HS-grad,9.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,United-States,0
50.0,Private,125417.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298.0,0.0,65.0,United-States,1
46.0,Private,110151.0,Assoc-voc,11.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States,0
37.0,Self-emp-not-inc,150993.0,11th,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,United-States,0
47.0,Local-gov,246891.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,0
55.0,Private,107308.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
43.0,Private,194636.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48.0,United-States,1
55.0,Private,200992.0,Some-college,10.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,0
37.0,Private,280966.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,1
34.0,Private,235271.0,Some-college,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,86.0,United-States,1
41.0,Private,307589.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0.0,0.0,5.0,Philippines,0
49.0,Private,48120.0,HS-grad,9.0,Never-married,Transport-moving,Unmarried,Black,Female,1506.0,0.0,40.0,United-States,0
58.0,Private,142182.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,25.0,United-States,0
23.0,Private,62507.0,Some-college,10.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,12.0,United-States,0
57.0,Private,190942.0,1st-4th,2.0,Widowed,Priv-house-serv,Not-in-family,Black,Female,0.0,0.0,30.0,United-States,0
35.0,Private,112158.0,10th,6.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
30.0,Private,143526.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,0
21.0,Private,26842.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,20.0,United-States,0
31.0,Private,175548.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,Other,Female,0.0,0.0,35.0,United-States,0
53.0,State-gov,197184.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,United-States,1
66.0,Self-emp-inc,197816.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605.0,0.0,40.0,United-States,1
58.0,Private,107897.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,40.0,United-States,1
26.0,Private,187248.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,0
27.0,Private,445365.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
20.0,Private,163911.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,40.0,United-States,0
51.0,Private,163027.0,HS-grad,9.0,Divorced,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,20.0,United-States,0
43.0,Private,243580.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
37.0,Private,259882.0,Assoc-voc,11.0,Never-married,Sales,Unmarried,Black,Female,0.0,0.0,6.0,United-States,0
20.0,Private,190772.0,Assoc-acdm,12.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
38.0,Private,101387.0,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,43.0,United-States,0
27.0,Private,267325.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,3464.0,0.0,40.0,United-States,0
44.0,Self-emp-inc,64632.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,0
39.0,Private,205338.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,0
50.0,Private,163671.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
64.0,Private,217802.0,HS-grad,9.0,Widowed,Craft-repair,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
61.0,Private,119684.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,50.0,United-States,0
38.0,Local-gov,123983.0,Bachelors,13.0,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0.0,1741.0,40.0,Vietnam,0
31.0,Private,163303.0,Assoc-voc,11.0,Divorced,Sales,Own-child,White,Female,0.0,0.0,38.0,United-States,0
19.0,Private,40425.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,28.0,United-States,0
37.0,Self-emp-inc,291518.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,15024.0,0.0,55.0,United-States,1
24.0,Private,174845.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
39.0,Private,191342.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,1
34.0,Private,173854.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,27828.0,0.0,60.0,United-States,1
24.0,Private,196388.0,Assoc-acdm,12.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,12.0,United-States,0
38.0,Private,143123.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
33.0,Self-emp-not-inc,24504.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,0
33.0,Private,400416.0,10th,6.0,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,20.0,United-States,0
25.0,Private,174545.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,46.0,United-States,0
36.0,Self-emp-not-inc,258289.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,35.0,United-States,0
49.0,Private,82572.0,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,60.0,United-States,0
39.0,Federal-gov,257175.0,Bachelors,13.0,Divorced,Tech-support,Unmarried,Black,Female,0.0,625.0,40.0,United-States,0
26.0,Private,152855.0,HS-grad,9.0,Never-married,Exec-managerial,Own-child,Other,Female,0.0,0.0,40.0,Mexico,0
70.0,Private,278139.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,3432.0,0.0,40.0,United-States,0
57.0,Self-emp-not-inc,57071.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,3137.0,0.0,40.0,United-States,0
28.0,Private,109001.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,38.0,United-States,1
19.0,Private,282698.0,7th-8th,4.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,80.0,United-States,0
34.0,Federal-gov,341051.0,Masters,14.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,50.0,United-States,1
21.0,Private,376393.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,25.0,United-States,0
38.0,Private,324053.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1
90.0,Private,51744.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,Black,Male,0.0,2206.0,40.0,United-States,0
32.0,Self-emp-inc,124052.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,0
33.0,Private,272669.0,Assoc-acdm,12.0,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0.0,0.0,30.0,Hong,0
46.0,Self-emp-not-inc,525848.0,11th,7.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,48.0,United-States,0
34.0,Self-emp-not-inc,313729.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,1
41.0,Private,173858.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,China,0
19.0,Private,80978.0,HS-grad,9.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,25.0,United-States,0
33.0,Self-emp-not-inc,175502.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,0
30.0,Private,53285.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
25.0,Private,135845.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,0
25.0,Private,188507.0,7th-8th,4.0,Never-married,Machine-op-inspct,Other-relative,White,Female,0.0,0.0,40.0,Dominican-Republic,0
17.0,Private,95446.0,10th,6.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,15.0,United-States,0
47.0,Private,274200.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,40.0,United-States,1
51.0,Private,105788.0,5th-6th,3.0,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,Scotland,0
31.0,Private,31510.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
33.0,Private,195770.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
51.0,Private,89652.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,4787.0,0.0,24.0,United-States,1
32.0,Private,133530.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0.0,0.0,20.0,United-States,0
24.0,Private,192201.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,Black,Female,0.0,0.0,20.0,United-States,0
45.0,Federal-gov,90533.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45.0,United-States,0
41.0,Private,143003.0,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,7298.0,0.0,60.0,India,1
25.0,Private,186370.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,0
31.0,Private,66815.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,0
24.0,Private,186221.0,11th,7.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,35.0,United-States,0
48.0,Self-emp-inc,192945.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,40.0,United-States,1
59.0,Private,220783.0,10th,6.0,Widowed,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
